"STPSxx-SPCT Inductif_31029_20190507_093827.csv"
"Claire Julien Lafosse"
"sn :";31029
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Conductivité (g/l)"
"23/04/2019 23:00:00";15,09;0,69;34,46
"24/04/2019 00:00:00";15,10;0,69;34,44
"24/04/2019 01:00:00";15,17;0,68;34,44
"24/04/2019 02:00:00";15,18;0,68;34,43
"24/04/2019 03:00:00";15,18;0,68;34,43
"24/04/2019 04:00:00";15,16;0,67;34,43
"24/04/2019 05:00:00";15,13;0,67;34,42
"24/04/2019 06:00:00";15,09;0,66;34,44
"24/04/2019 07:00:00";15,07;0,67;34,45
"24/04/2019 08:00:00";15,12;0,68;34,43
"24/04/2019 09:00:00";15,17;0,69;34,42
"24/04/2019 10:00:00";15,15;0,68;34,42
"24/04/2019 11:00:00";15,14;0,69;34,43
"24/04/2019 12:00:00";15,24;0,68;34,41
"24/04/2019 13:00:00";15,27;0,70;34,42
"24/04/2019 14:00:00";15,32;0,69;34,42
"24/04/2019 15:00:00";15,41;0,70;34,42
"24/04/2019 16:00:00";15,43;0,70;34,41
"24/04/2019 17:00:00";15,41;0,70;34,43
"24/04/2019 18:00:00";15,45;0,69;34,43
"24/04/2019 19:00:00";15,51;0,68;34,40
"24/04/2019 20:00:00";15,50;0,69;34,41
"24/04/2019 21:00:00";15,47;0,70;34,43
"24/04/2019 22:00:00";15,40;0,69;34,42
"24/04/2019 23:00:00";15,40;0,68;34,43
"25/04/2019 00:00:00";15,39;0,67;34,43
"25/04/2019 01:00:00";15,39;0,68;34,43
"25/04/2019 02:00:00";15,37;0,68;34,43
"25/04/2019 03:00:00";15,36;0,68;34,43
"25/04/2019 04:00:00";15,34;0,68;34,43
"25/04/2019 05:00:00";15,31;0,69;34,43
"25/04/2019 06:00:00";15,28;0,70;34,43
"25/04/2019 07:00:00";15,28;0,70;34,43
"25/04/2019 08:00:00";15,25;0,72;34,43
"25/04/2019 09:00:00";15,21;0,70;34,44
"25/04/2019 10:00:00";15,24;0,72;34,44
"25/04/2019 11:00:00";15,28;0,75;34,43
"25/04/2019 12:00:00";15,30;0,75;34,43
"25/04/2019 13:00:00";15,31;0,76;34,47
"25/04/2019 14:00:00";15,27;0,76;34,46
"25/04/2019 15:00:00";15,28;0,77;34,45
"25/04/2019 16:00:00";15,25;0,77;34,46
"25/04/2019 17:00:00";15,21;0,78;34,45
"25/04/2019 18:00:00";15,19;0,77;34,44
"25/04/2019 19:00:00";15,17;0,78;34,45
"25/04/2019 20:00:00";15,14;0,78;34,45
"25/04/2019 21:00:00";15,12;0,78;34,44
"25/04/2019 22:00:00";15,07;0,79;34,44
"25/04/2019 23:00:00";15,03;0,79;34,45
"26/04/2019 00:00:00";14,99;0,81;34,46
"26/04/2019 01:00:00";14,95;0,82;34,45
"26/04/2019 02:00:00";14,92;0,82;34,45
"26/04/2019 03:00:00";14,89;0,82;34,44
